name,measure,measure_info,place,data_value,year
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,24.35,2015
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,25.83,2012
Nitrogen dioxide (NO2),Mean,ppb,Bronx,22.73,2010
Nitrogen dioxide (NO2),Mean,ppb,Bronx,17.1,2020
Nitrogen dioxide (NO2),Mean,ppb,Bronx,24.52,2008
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,30.96,2010
Nitrogen dioxide (NO2),Mean,ppb,East New York,10.42,2020
Nitrogen dioxide (NO2),Mean,ppb,East New York,24.86,2016
Nitrogen dioxide (NO2),Mean,ppb,East New York,18.26,2015
Nitrogen dioxide (NO2),Mean,ppb,East New York,11.97,2019
Nitrogen dioxide (NO2),Mean,ppb,East New York,25.5,2019
Nitrogen dioxide (NO2),Mean,ppb,East New York,23.9,2008
Nitrogen dioxide (NO2),Mean,ppb,East New York,22.9,2010
Nitrogen dioxide (NO2),Mean,ppb,Bronx,19.97,2015
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,26.02,2018
Nitrogen dioxide (NO2),Mean,ppb,Bronx,15.75,2014
Nitrogen dioxide (NO2),Mean,ppb,Bronx,20.89,2018
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,33.89,2008
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,22.69,2014
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,32.41,2013
Nitrogen dioxide (NO2),Mean,ppb,Manhattan,21.71,2019
Nitrogen dioxide (NO2),Mean,ppb,Bronx,23.57,2017
Nitrogen dioxide (NO2),Mean,ppb,Bronx,16.01,2019
Nitrogen dioxide (NO2),Mean,ppb,Bronx,29.29,2008
Nitrogen dioxide (NO2),Mean,ppb,East New York,15.81,2019
Nitrogen dioxide (NO2),Mean,ppb,East New York,27.88,2013
Nitrogen dioxide (NO2),Mean,ppb,East New York,24.54,2017
